,Region,Domain,Facility_ID
0,Blansko,Dentální hygienistka,3472
1,Blansko,Dentální hygienistka,7074
2,Blansko,Dentální hygienistka,9485
3,Blansko,Dentální hygienistka,12644
4,Blansko,Dentální hygienistka,23004
5,Blansko,Dentální hygienistka,23826
6,Blansko,Dentální hygienistka,55952
7,Blansko,Fyzioterapeut,2876
8,Blansko,Fyzioterapeut,6681
9,Blansko,Fyzioterapeut,10584
10,Blansko,Fyzioterapeut,10585
11,Blansko,Fyzioterapeut,10586
12,Blansko,Fyzioterapeut,11601
13,Blansko,Fyzioterapeut,12236
14,Blansko,Fyzioterapeut,12237
15,Blansko,Fyzioterapeut,12238
16,Blansko,Fyzioterapeut,23813
17,Blansko,Fyzioterapeut,24742
18,Blansko,Fyzioterapeut,32552
19,Blansko,Fyzioterapeut,32690
20,Blansko,Fyzioterapeut,32691
21,Blansko,Fyzioterapeut,33655
22,Blansko,Fyzioterapeut,40804
23,Blansko,Fyzioterapeut,43085
24,Blansko,Fyzioterapeut,43086
25,Blansko,Fyzioterapeut,45742
26,Blansko,Fyzioterapeut,59888
27,Blansko,Klinický logoped,21524
28,Blansko,Klinický logoped,24884
29,Blansko,Klinický logoped,43081
30,Blansko,Klinický logoped,43082
31,Blansko,Klinický logoped,44739
32,Blansko,Klinický logoped,44838
33,Blansko,Klinický logoped,59883
34,Blansko,Klinický psycholog,32697
35,Blansko,Klinický psycholog,40790
36,Blansko,Klinický psycholog,43087
37,Blansko,Klinický psycholog,43088
38,Blansko,Klinický psycholog,45843
39,Blansko,Klinický psycholog,59882
40,Blansko,chirurgie,8548
41,Blansko,chirurgie,34705
42,Blansko,chirurgie,37319
43,Blansko,chirurgie,40809
44,Blansko,chirurgie,40810
45,Blansko,chirurgie,40811
46,Blansko,chirurgie,50625
47,Blansko,chirurgie,59849
48,Blansko,chirurgie,59869
49,Blansko,kardiologie,9616
50,Blansko,kardiologie,24873
51,Blansko,kardiologie,40800
52,Blansko,kardiologie,50586
53,Blansko,kardiologie,59870
54,Blansko,nefrologie,13032
55,Blansko,nefrologie,32067
56,Blansko,nefrologie,59873
57,Blansko,neurologie,14492
58,Blansko,neurologie,21680
59,Blansko,neurologie,35309
60,Blansko,neurologie,40791
61,Blansko,neurologie,59853
62,Blansko,neurologie,59856
63,Blansko,neurologie,59874
