,Domain,Facility_ID,DateFrom
0,Dentální hygienistka,553,2021-07-01
1,Dentální hygienistka,715,2021-05-21
2,Dentální hygienistka,2627,2021-01-01
3,Dentální hygienistka,4698,2020-03-02
4,Dentální hygienistka,4699,2020-03-02
5,Dentální hygienistka,6091,2019-09-01
6,Dentální hygienistka,7972,2018-11-26
7,Dentální hygienistka,11040,2017-12-08
8,Dentální hygienistka,20737,2015-04-12
9,Dentální hygienistka,21598,2015-03-01
10,Dentální hygienistka,28199,2013-01-01
11,Dentální hygienistka,38827,2007-06-01
12,Dentální hygienistka,54475,1993-01-01
13,Fyzioterapeut,1709,2021-01-01
14,Fyzioterapeut,2788,2020-10-01
15,Fyzioterapeut,3550,2020-05-07
16,Fyzioterapeut,6419,2019-05-01
17,Fyzioterapeut,6420,2019-05-01
18,Fyzioterapeut,6421,2019-05-01
19,Fyzioterapeut,6422,2019-05-01
20,Fyzioterapeut,6436,2019-07-01
21,Fyzioterapeut,6437,2019-07-01
22,Fyzioterapeut,9441,2018-05-15
23,Fyzioterapeut,13182,2017-01-01
24,Fyzioterapeut,17055,2016-03-01
25,Fyzioterapeut,17056,2016-03-01
26,Fyzioterapeut,22320,2014-09-01
27,Fyzioterapeut,23287,2014-04-01
28,Fyzioterapeut,24269,2014-03-01
29,Fyzioterapeut,26938,2013-01-01
30,Fyzioterapeut,26939,2013-01-01
31,Fyzioterapeut,30287,2012-01-01
32,Fyzioterapeut,39649,2007-01-01
33,Fyzioterapeut,39650,2007-01-01
34,Fyzioterapeut,41863,2005-07-01
35,Fyzioterapeut,43333,2003-09-01
36,Fyzioterapeut,46148,1999-09-01
37,Fyzioterapeut,46729,1997-03-01
38,kardiologie,1710,2021-01-01
39,kardiologie,33870,2010-07-01
40,kardiologie,34477,2010-01-01
41,kardiologie,34486,2010-01-01
42,kardiologie,41831,2005-07-01
43,kardiologie,41843,2005-07-01
44,sexuologie,46418,1999-05-01
45,Dentální hygienistka,6478,2019-06-05
46,Dentální hygienistka,10111,2018-03-01
47,Fyzioterapeut,788,2021-05-04
48,Fyzioterapeut,1348,2021-03-05
49,Fyzioterapeut,1349,2021-02-26
50,Fyzioterapeut,4420,2020-01-01
51,Fyzioterapeut,5129,2020-01-06
52,Fyzioterapeut,5130,2020-01-06
53,Fyzioterapeut,6335,2019-07-01
54,Fyzioterapeut,7754,2019-01-01
55,Fyzioterapeut,7755,2019-01-01
56,Fyzioterapeut,8800,2018-06-13
57,Fyzioterapeut,9849,2018-04-13
58,Fyzioterapeut,12545,2017-05-01
59,Fyzioterapeut,13415,2017-01-01
60,Fyzioterapeut,13879,2016-11-01
61,Fyzioterapeut,14246,2016-09-26
62,Fyzioterapeut,14247,2016-09-26
63,Fyzioterapeut,16410,2016-09-01
64,Fyzioterapeut,17978,2015-11-11
65,Fyzioterapeut,17979,2015-11-11
66,Fyzioterapeut,22214,2014-10-22
67,Fyzioterapeut,24539,2014-01-01
68,Fyzioterapeut,53786,1995-03-01
69,kardiologie,4430,2020-01-01
70,kardiologie,15141,2016-10-01
71,kardiologie,18015,2016-01-01
72,kardiologie,18460,2015-11-01
73,kardiologie,26470,2013-08-16
74,kardiologie,33893,2010-07-01
75,kardiologie,35007,2009-06-01
76,kardiologie,39144,2007-07-01
77,kardiologie,53793,1995-03-01
78,kardiologie,53878,1993-01-01
79,Dentální hygienistka,3472,2020-06-01
80,Dentální hygienistka,7074,2019-04-08
81,Dentální hygienistka,9485,2018-05-21
82,Dentální hygienistka,12644,2017-03-08
83,Dentální hygienistka,23004,2014-01-01
84,Dentální hygienistka,23826,2014-01-01
85,Dentální hygienistka,55952,1993-03-01
86,Fyzioterapeut,2876,2020-09-09
87,Fyzioterapeut,6681,2019-03-12
88,Fyzioterapeut,10584,2018-01-29
89,Fyzioterapeut,10585,2018-01-29
