,Region,Facility_ID
0,Středočeský kraj,1164
1,Středočeský kraj,1165
2,Středočeský kraj,1166
3,Středočeský kraj,1640
4,Středočeský kraj,1708
5,Středočeský kraj,6253
6,Středočeský kraj,8152
7,Středočeský kraj,8153
8,Středočeský kraj,9909
9,Středočeský kraj,14491
10,Středočeský kraj,16180
11,Středočeský kraj,21625
12,Středočeský kraj,21644
13,Středočeský kraj,21728
14,Středočeský kraj,22298
15,Středočeský kraj,22551
16,Středočeský kraj,22812
17,Středočeský kraj,22933
18,Středočeský kraj,23311
19,Středočeský kraj,23312
20,Středočeský kraj,24264
21,Středočeský kraj,24286
22,Středočeský kraj,24552
23,Středočeský kraj,24553
24,Středočeský kraj,28022
25,Středočeský kraj,28053
26,Středočeský kraj,28055
27,Středočeský kraj,28058
28,Středočeský kraj,28059
29,Středočeský kraj,28593
30,Středočeský kraj,28868
31,Středočeský kraj,29029
32,Středočeský kraj,29399
33,Středočeský kraj,30267
34,Středočeský kraj,30672
35,Středočeský kraj,30688
36,Středočeský kraj,31720
37,Středočeský kraj,33334
38,Středočeský kraj,34491
39,Středočeský kraj,37665
40,Středočeský kraj,37667
41,Středočeský kraj,38095
42,Středočeský kraj,40470
43,Středočeský kraj,41861
44,Středočeský kraj,45016
45,Středočeský kraj,45141
46,Středočeský kraj,46505
47,Středočeský kraj,47463
48,Středočeský kraj,47466
49,Středočeský kraj,51301
50,Středočeský kraj,51303
51,Středočeský kraj,51310
52,Středočeský kraj,54464
53,Středočeský kraj,54478
54,Středočeský kraj,54483
55,Středočeský kraj,54490
56,Středočeský kraj,55458
57,Středočeský kraj,55459
58,Středočeský kraj,55472
59,Středočeský kraj,55475
60,Středočeský kraj,55476
61,Středočeský kraj,55478
62,Středočeský kraj,863
63,Středočeský kraj,4431
64,Středočeský kraj,7965
65,Středočeský kraj,8559
66,Středočeský kraj,10032
67,Středočeský kraj,10846
68,Středočeský kraj,11574
69,Středočeský kraj,13380
70,Středočeský kraj,13381
71,Středočeský kraj,16316
72,Středočeský kraj,16401
73,Středočeský kraj,18038
74,Středočeský kraj,19592
75,Středočeský kraj,22616
76,Středočeský kraj,22747
77,Středočeský kraj,23026
78,Středočeský kraj,24638
79,Středočeský kraj,26474
80,Středočeský kraj,26744
81,Středočeský kraj,27125
82,Středočeský kraj,29549
83,Středočeský kraj,30240
84,Středočeský kraj,30778
85,Středočeský kraj,33261
86,Středočeský kraj,33577
87,Středočeský kraj,37874
88,Středočeský kraj,39157
89,Středočeský kraj,41497
90,Středočeský kraj,45452
91,Středočeský kraj,48589
92,Středočeský kraj,49328
93,Středočeský kraj,53752
94,Středočeský kraj,53753
95,Středočeský kraj,53754
96,Středočeský kraj,53755
97,Středočeský kraj,53756
98,Středočeský kraj,53758
99,Středočeský kraj,53778
100,Středočeský kraj,53780
101,Středočeský kraj,53855
102,Středočeský kraj,53869
103,Středočeský kraj,56620
104,Středočeský kraj,56621
105,Středočeský kraj,56622
106,Středočeský kraj,56623
107,Středočeský kraj,56630
108,Středočeský kraj,56639
109,Středočeský kraj,56641
110,Středočeský kraj,56643
111,Středočeský kraj,56645
112,Středočeský kraj,56646
113,Středočeský kraj,56647
114,Středočeský kraj,56648
115,Jihomoravský kraj,1158
116,Jihomoravský kraj,3089
117,Jihomoravský kraj,3564
118,Jihomoravský kraj,4271
119,Jihomoravský kraj,4706
120,Jihomoravský kraj,4715
121,Jihomoravský kraj,4764
122,Jihomoravský kraj,4765
123,Jihomoravský kraj,5479
124,Jihomoravský kraj,8649
125,Jihomoravský kraj,11699
126,Jihomoravský kraj,12506
127,Jihomoravský kraj,12654
128,Jihomoravský kraj,14122
129,Jihomoravský kraj,14234
130,Jihomoravský kraj,14235
131,Jihomoravský kraj,14236
132,Jihomoravský kraj,14237
133,Jihomoravský kraj,14897
134,Jihomoravský kraj,14949
135,Jihomoravský kraj,14950
136,Jihomoravský kraj,15153
137,Jihomoravský kraj,15154
138,Jihomoravský kraj,16675
139,Jihomoravský kraj,16676
