,Region,20-25 ,25-30 ,30-35 ,35-40 ,40-45 ,45-50 ,50-55 ,55-60 ,60-65 ,65-70 ,70-75 ,75-80 ,80-85 ,85-90 ,90-95 ,Od 95 
0,Hlavní město Praha,55152,80144,108880,114303,125215,109141,80959,76847,66280,74082,70926,52917,27856,17561,7974,1795
1,Jihomoravský kraj,51239,70247,82495,88207,99858,95717,75841,73651,70106,73354,67225,48043,28460,16451,6845,1519
2,Jihočeský kraj,28994,37266,40988,42548,51850,51993,41784,40975,40583,42722,38590,25070,14947,8804,3235,651
3,Karlovarský kraj,13365,16702,18769,19068,23068,24813,20263,19624,18562,19720,18111,11002,7048,3449,1215,239
4,Kraj Vysočina,24228,30496,32186,33376,39563,40803,33171,33335,32257,32447,29650,20258,12956,7297,2677,463
5,Královéhradecký kraj,25530,31393,34103,35323,43662,44921,35688,34214,32965,37198,34976,23516,13568,8038,3248,626
6,Liberecký kraj,20595,25470,28542,29698,36497,37334,28252,26822,24831,28511,28210,16840,9467,5296,2071,424
7,Moravskoslezský kraj,55579,70948,79773,78186,92539,95934,80862,81427,74596,76845,68763,47716,28733,14466,5464,1143
8,Olomoucký kraj,28272,36350,40468,41543,51208,51737,40560,40110,39006,41444,37791,25293,15482,8708,3319,678
9,Pardubický kraj,24858,31146,33930,34987,42684,42959,33245,32398,31057,33930,30477,20173,12375,7454,2706,516
10,Plzeňský kraj,25990,34127,39831,41989,48971,49170,38337,37101,35180,38408,34770,23700,13731,7681,2815,530
11,Středočeský kraj,59399,75380,90022,101440,126076,121097,89759,82619,75587,82957,76745,49559,27631,16004,6037,1245
12,Zlínský kraj,26319,33652,36978,38263,46010,47216,38121,38736,36877,38024,33608,23329,15065,8734,3162,610
13,Ústecký kraj,38390,47604,51966,54379,66120,69751,54241,51874,47578,52776,51335,29785,16818,8547,3043,649
