,Region,15-64_percentage,0-14_percentage,Size,Dentální hygienistka,Fyzioterapeut,Optometrista,chirurgie,dětské lékařství,kardiologie,ortopedie a traumatologie pohybového ústrojí,praktické lékařství pro děti a dorost,zubní lékařství
13,Ústí nad Orlicí,0.5871073877460738,0.1539067684140677,big,4.0,35.0,8.0,31.0,3.0,4.0,23.0,28.0,54.0
14,Ostrava-město,0.5942792906826757,0.14548298434053017,big,41.0,135.0,27.0,45.0,15.0,45.0,41.0,63.0,222.0
15,Praha-východ,0.5914906822818362,0.20366705501091265,big,19.0,42.0,10.0,11.0,2.0,12.0,8.0,30.0,61.0
16,České Budějovice,0.5891509549013391,0.16092099807312374,big,7.0,73.0,16.0,28.0,23.0,10.0,19.0,40.0,136.0
17,Hodonín,0.5931551828337518,0.13816736344321842,big,8.0,30.0,8.0,15.0,11.0,6.0,15.0,50.0,90.0
18,Příbram,0.5875951217891204,0.15097364835676072,big,9.0,32.0,8.0,19.0,2.0,7.0,17.0,31.0,51.0
19,Opava,0.5953102143140699,0.15178721946391574,big,21.0,40.0,15.0,17.0,7.0,11.0,19.0,32.0,80.0
20,Brno-město,0.5920700039717852,0.15029939216603067,big,61.0,193.0,57.0,100.0,5.0,49.0,77.0,90.0,334.0
21,Karviná,0.5922559677679544,0.13957120992142652,big,6.0,39.0,17.0,32.0,7.0,22.0,32.0,48.0,115.0
22,Praha-západ,0.5852509569724985,0.2010871964331885,big,13.0,52.0,5.0,5.0,0.0,7.0,16.0,27.0,51.0
23,Břeclav,0.5921471262855874,0.14740580579922227,big,6.0,21.0,9.0,13.0,3.0,7.0,11.0,26.0,50.0
24,Mladá Boleslav,0.6009204855597913,0.1586410764851793,big,27.0,36.0,7.0,20.0,4.0,9.0,17.0,27.0,67.0
25,Olomouc,0.5878668925302146,0.15846825422679742,big,1.0,94.0,21.0,43.0,14.0,21.0,31.0,67.0,175.0
26,Chomutov,0.6070829664229105,0.15087101343849305,big,0.0,27.0,8.0,17.0,10.0,4.0,20.0,31.0,53.0
27,Děčín,0.5812848124767916,0.15381359079093948,big,5.0,31.0,8.0,18.0,4.0,8.0,12.0,28.0,53.0
28,Pardubice,0.5920459360502385,0.15438228615508306,big,14.0,51.0,13.0,29.0,5.0,9.0,20.0,33.0,93.0
29,Ústí nad Labem,0.5872439740855498,0.15680656714015534,big,4.0,36.0,8.0,23.0,9.0,20.0,22.0,25.0,62.0
30,Uherské Hradiště,0.5899731121049574,0.14364756590236585,big,12.0,30.0,8.0,15.0,3.0,6.0,8.0,31.0,104.0
31,Litoměřice,0.5860420650095602,0.1561771936307984,big,3.0,33.0,10.0,18.0,7.0,3.0,16.0,31.0,48.0
32,Trutnov,0.5774721250101733,0.1463660779685847,big,11.0,32.0,7.0,29.0,7.0,5.0,16.0,35.0,61.0
1,Pelhřimov,0.5874963713614652,0.14071200485577812,small,5.0,22.0,10.0,12.0,6.0,2.0,8.0,26.0,35.0
2,Klatovy,0.5804788254471662,0.14133002140187848,small,4.0,16.0,3.0,9.0,3.0,3.0,9.0,19.0,41.0
3,Písek,0.5781354258414071,0.14588838177596286,small,1.0,8.0,7.0,5.0,1.0,6.0,13.0,22.0,36.0
4,Český Krumlov,0.5992217293174567,0.1565880613277298,small,2.0,10.0,6.0,8.0,6.0,2.0,3.0,35.0,30.0
5,Louny,0.5953212367670785,0.15445222887705262,small,2.0,22.0,10.0,14.0,6.0,3.0,8.0,25.0,38.0
6,Jičín,0.5831989584453124,0.14925765339639996,small,6.0,20.0,7.0,9.0,2.0,6.0,11.0,17.0,39.0
7,Strakonice,0.5821274745580782,0.1503009551760214,small,2.0,9.0,9.0,8.0,3.0,2.0,5.0,14.0,28.0
8,Semily,0.5771984435797666,0.14942931258106357,small,2.0,22.0,1.0,17.0,3.0,5.0,15.0,21.0,37.0
9,Kutná Hora,0.5847725675268601,0.14914901094487398,small,1.0,28.0,1.0,8.0,2.0,4.0,7.0,20.0,34.0
10,Prachatice,0.5951629270492728,0.14875784567970834,small,0.0,8.0,5.0,5.0,2.0,2.0,5.0,13.0,18.0
11,Plzeň-jih,0.5888770182223092,0.1499164873527243,small,0.0,9.0,1.0,6.0,1.0,3.0,7.0,17.0,24.0
12,Jablonec nad Nisou,0.5768378180583986,0.15751514058738056,small,2.0,47.0,7.0,16.0,4.0,4.0,8.0,21.0,49.0
13,Plzeň-sever,0.5971945551128818,0.1559713526845001,small,0.0,8.0,4.0,5.0,4.0,3.0,4.0,19.0,28.0
14,Jindřichův Hradec,0.5809336338910585,0.1441936269062662,small,0.0,28.0,8.0,15.0,5.0,4.0,7.0,26.0,51.0
15,Rychnov nad Kněžnou,0.5859122040467507,0.15252952009533094,small,7.0,30.0,5.0,9.0,2.0,3.0,10.0,21.0,31.0
16,Rokycany,0.5872145941863393,0.1499312508472607,small,2.0,9.0,2.0,5.0,1.0,2.0,4.0,14.0,23.0
17,Jeseník,0.5886919361772068,0.13470048296963108,small,2.0,8.0,2.0,3.0,3.0,1.0,5.0,12.0,24.0
18,Tachov,0.6116515082347157,0.14996312813849774,small,1.0,8.0,4.0,6.0,1.0,2.0,4.0,12.0,23.0
19,Sokolov,0.5948595481113147,0.15005888510861032,small,6.0,10.0,7.0,14.0,3.0,2.0,14.0,20.0,28.0
20,Rakovník,0.5827531074320491,0.15219970086131313,small,1.0,6.0,7.0,10.0,1.0,4.0,3.0,10.0,26.0
2,Kolín,0.5874218374218374,0.1647981647981648,medium,6.0,22.0,7.0,13.0,5.0,5.0,6.0,27.0,44.0
3,Tábor,0.5814303193327542,0.1485705212623871,medium,3.0,37.0,13.0,12.0,10.0,8.0,13.0,14.0,57.0
4,Třebíč,0.5940113649140712,0.14314256307354328,medium,6.0,33.0,14.0,11.0,7.0,6.0,10.0,50.0,55.0
5,Most,0.5981993768397859,0.15083231481640874,medium,4.0,23.0,13.0,8.0,3.0,3.0,8.0,33.0,48.0
6,Cheb,0.5915473812984243,0.14731438011689793,medium,4.0,119.0,7.0,14.0,13.0,8.0,9.0,20.0,43.0
7,Znojmo,0.5921696438246548,0.15187256707982896,medium,7.0,28.0,9.0,11.0,7.0,5.0,10.0,20.0,63.0
8,Beroun,0.5891246789958792,0.17186909004041168,medium,2.0,22.0,7.0,17.0,5.0,10.0,9.0,22.0,46.0
9,Nymburk,0.5900985806646184,0.16877462160481027,medium,8.0,25.0,10.0,15.0,2.0,14.0,10.0,26.0,51.0
10,Kroměříž,0.5856425244314549,0.14599506804274362,medium,2.0,35.0,6.0,8.0,11.0,7.0,15.0,23.0,52.0
11,Havlíčkův Brod,0.5832576170573627,0.15080663072667433,medium,5.0,26.0,4.0,10.0,9.0,3.0,14.0,35.0,54.0
12,Česká Lípa,0.5985012489592006,0.15487094088259784,medium,4.0,21.0,3.0,12.0,3.0,4.0,9.0,25.0,51.0
13,Blansko,0.5821355506580853,0.1589063227120668,medium,7.0,20.0,9.0,9.0,10.0,5.0,17.0,22.0,54.0
