,Region,15-64_percentage,0-14_percentage,Size,Dentální hygienistka,Fyzioterapeut,Optometrista,chirurgie,Discretization_chirurgie,dětské lékařství,kardiologie,ortopedie a traumatologie pohybového ústrojí,praktické lékařství pro děti a dorost,zubní lékařství
0,Opava,0.5953102143140699,0.1517872194639157,big,1.8668500037118976,40.0,15.0,17.0,Medium,7.0,11.0,19.0,32.0,80.0
1,Ostrava-město,0.5942792906826757,0.1454829843405301,big,1.8668500037118976,51.0,16.0,29.0,Big,13.0,13.0,23.0,50.0,93.0
2,Šumperk,0.5821034606347816,0.148174106965075,big,-0.993941750502798,41.0,7.0,13.0,Small-Medium,5.0,6.0,16.0,29.0,67.0
3,Pardubice,0.5920459360502385,0.154382286155083,big,1.8668500037118976,51.0,13.0,29.0,Big,5.0,9.0,20.0,33.0,93.0
4,České Budějovice,0.5891509549013391,0.1609209980731237,big,0.3264236745193691,51.0,16.0,28.0,Big,13.0,10.0,19.0,40.0,93.0
5,Trutnov,0.5774721250101733,0.1463660779685847,big,1.2066672912008138,32.0,7.0,29.0,Big,7.0,5.0,16.0,35.0,61.0
6,Ústí nad Labem,0.5872439740855498,0.1568065671401553,big,-0.3337590379917144,36.0,8.0,23.0,Medium-Big,9.0,13.0,22.0,25.0,62.0
7,Litoměřice,0.5860420650095602,0.1561771936307984,big,-0.5538199421620756,33.0,10.0,18.0,Medium,7.0,3.0,16.0,31.0,48.0
8,Hodonín,0.5931551828337518,0.1381673634432184,big,0.5464845786897302,30.0,8.0,15.0,Medium,11.0,6.0,15.0,50.0,90.0
9,Žďár nad Sázavou,0.5911963408326868,0.153122575640031,big,0.3264236745193691,14.0,10.0,10.0,Small-Medium,12.0,7.0,16.0,50.0,59.0
10,Příbram,0.5875951217891204,0.1509736483567607,big,0.7665454828600914,32.0,8.0,19.0,Medium-Big,2.0,7.0,17.0,31.0,51.0
11,Olomouc,0.5878668925302146,0.1584682542267974,big,-0.993941750502798,51.0,16.0,29.0,Big,13.0,13.0,23.0,50.0,93.0
