,Region,0-5 ,5-10  ,10-15 ,15-20 ,20-25 ,25-30 ,30-35 ,35-40 ,40-45 ,45-50 ,50-55 ,55-60 ,60-65 ,65-70 ,70-75 ,75-80 ,80-85 ,85-90 ,90-95 ,Od 95 
0,Benešov,5325,5571,5861,4620,4308,5394,5978,6854,8441,8188,6296,6068,6096,6721,6268,3731,2171,1301,476,74
1,Beroun,5667,5735,5865,4433,4063,5057,6296,7288,8816,8416,6166,5654,5101,5569,5197,3567,1950,1052,433,78
2,Blansko,5982,5966,6150,4904,4787,6244,6871,7596,8959,8971,6792,6684,6497,6919,6230,4466,2710,1620,628,128
3,Brno-město,21802,19338,18650,15363,15401,23145,30151,30751,32076,28973,22525,22826,21442,22547,21314,16807,9972,5946,2744,632
4,Brno-venkov,13933,13817,13705,10720,9627,12462,14809,16927,19798,19022,14493,13173,12000,12583,11944,8570,4795,2694,1110,260
5,Bruntál,4183,4144,4965,4428,4506,5418,5575,5549,7076,7477,6153,5806,5938,6662,6312,3375,1892,1050,371,91
6,Břeclav,6069,5783,6078,5173,5155,6853,7510,8146,9615,9583,8017,7569,7268,7658,6896,4453,2606,1393,541,116
7,Cheb,4205,4497,5387,4412,4205,5130,5815,5951,7358,7866,6189,5898,5735,6150,5654,3381,2081,1058,373,89
8,Chomutov,6279,6197,7227,6231,5995,7401,8430,8883,10151,10397,8532,8267,7532,7801,7232,4052,2442,1091,374,86
9,Chrudim,5580,5358,5574,4986,5067,6290,6731,6787,8374,8168,6531,6772,6435,7120,6103,4135,2586,1517,488,106
10,Domažlice,3171,3128,3588,3017,2848,3641,3942,3986,4972,5254,4108,3899,3771,4070,3785,2294,1297,733,230,50
11,Děčín,6234,6648,7829,6753,6201,7367,7639,7929,9962,11174,8296,7758,7286,8882,8874,4957,2578,1439,526,117
12,Frýdek-Místek,11169,11080,12062,10098,9959,12613,14199,14220,16968,17559,14364,14635,13132,13503,12036,8341,4876,2530,1011,232
13,Havlíčkův Brod,5062,4788,5088,4397,4442,5452,5828,6163,7278,7507,6054,6225,6040,6397,5718,3849,2389,1389,481,65
14,Hlavní město Praha,73806,70840,68178,52228,55152,80144,108880,114303,125215,109141,80959,76847,66280,74082,70926,52917,27856,17561,7974,1795
15,Hodonín,7315,7142,7719,6912,6894,9202,9558,10310,12260,12401,10581,10550,10221,10347,8903,6315,3843,2170,809,155
16,Hradec Králové,8667,8281,9102,7264,7332,9385,10499,10970,13105,13167,10436,9841,9727,10943,10237,7247,4358,2654,1021,199
17,Jablonec nad Nisou,4941,4703,5207,4198,4085,5017,5529,6031,7450,7521,5822,5432,5038,5935,5969,3645,2010,1107,445,113
18,Jeseník,1723,1632,1972,1796,1838,2187,2351,2251,2876,3072,2423,2515,2557,2896,2604,1488,863,465,163,37
19,Jihlava,6046,6016,6489,5287,5213,6670,7457,7769,9321,9235,7297,7166,7045,6955,6587,4137,2706,1581,591,96
20,Jihomoravský kraj,66722,62945,63753,52649,51239,70247,82495,88207,99858,95717,75841,73651,70106,73354,67225,48043,28460,16451,6845,1519
21,Jihočeský kraj,33685,33040,35765,30061,28994,37266,40988,42548,51850,51993,41784,40975,40583,42722,38590,25070,14947,8804,3235,651
22,Jindřichův Hradec,4413,4312,4900,4295,4212,5285,5323,5628,7085,7218,5960,5615,6020,6376,6036,3613,2169,1278,434,107
23,Jičín,4072,3965,4459,3719,3587,4655,4905,5296,6479,6552,5055,5116,4930,5573,4970,3186,1866,1165,488,96
24,Karlovarský kraj,13708,13983,16827,13775,13365,16702,18769,19068,23068,24813,20263,19624,18562,19720,18111,11002,7048,3449,1215,239
25,Karlovy Vary,5167,5210,6291,5118,4959,6255,7242,7430,9050,9808,7778,7785,7379,7956,7228,4525,2967,1542,581,103
26,Karviná,11417,11165,12891,11100,11378,14741,16064,15516,17534,19064,17507,17839,15912,15612,13981,10679,6189,2908,1061,221
27,Kladno,8989,9372,9811,7932,7072,9298,10846,11791,14315,14426,11189,10512,8969,10112,9475,6395,3509,1999,712,121
28,Klatovy,4082,4045,4618,4155,3926,4847,5065,5357,6670,7088,5830,5767,5546,6066,5552,3723,2114,1268,448,86
29,Kolín,6007,5858,5951,4818,4335,5810,7069,7707,9066,8633,6404,6024,5708,6327,5837,3895,2337,1358,502,127
30,Kraj Vysočina,26776,25550,27325,24038,24228,30496,32186,33376,39563,40803,33171,33335,32257,32447,29650,20258,12956,7297,2677,463
31,Kroměříž,5353,5032,5600,4833,4664,6062,6485,6949,8249,8581,6853,6877,6758,7276,6323,4122,2609,1476,589,135
32,Královéhradecký kraj,27906,27420,30797,25711,25530,31393,34103,35323,43662,44921,35688,34214,32965,37198,34976,23516,13568,8038,3248,626
33,Kutná Hora,3971,3901,4011,3359,3362,4531,4909,5200,5944,6158,4995,4870,4895,5098,4658,3063,1767,1138,400,80
34,Liberec,9680,9494,10402,8306,8133,10121,11750,12021,14587,15186,11082,10312,9183,10949,11064,6573,3620,2009,825,168
