,Region,Year,AgeCategory,Value
0,Brno-město,2010-12-31,0-5 ,20211
1,Brno-město,2010-12-31,10-15 ,12986
2,Brno-město,2010-12-31,15-20 ,17413
3,Brno-město,2010-12-31,20-25 ,23272
4,Brno-město,2010-12-31,25-30 ,28266
5,Brno-město,2010-12-31,30-35 ,33797
6,Brno-město,2010-12-31,35-40 ,30280
7,Brno-město,2010-12-31,40-45 ,23476
8,Brno-město,2010-12-31,45-50 ,24138
9,Brno-město,2010-12-31,5-10  ,15385
10,Brno-město,2010-12-31,50-55 ,23874
11,Brno-město,2010-12-31,55-60 ,26196
12,Brno-město,2010-12-31,60-65 ,25778
13,Brno-město,2010-12-31,65-70 ,21731
14,Brno-město,2010-12-31,70-75 ,14820
15,Brno-město,2010-12-31,75-80 ,12426
16,Brno-město,2010-12-31,80-85 ,10114
17,Brno-město,2010-12-31,85-90 ,5696
18,Brno-město,2010-12-31,90-95 ,1267
19,Brno-město,2010-12-31,Od 95 ,245
20,Brno-město,2011-12-31,0-5 ,21614
21,Brno-město,2011-12-31,10-15 ,13624
22,Brno-město,2011-12-31,15-20 ,16293
23,Brno-město,2011-12-31,20-25 ,22804
24,Brno-město,2011-12-31,25-30 ,28230
25,Brno-město,2011-12-31,30-35 ,33274
26,Brno-město,2011-12-31,35-40 ,32585
27,Brno-město,2011-12-31,40-45 ,24352
28,Brno-město,2011-12-31,45-50 ,24706
29,Brno-město,2011-12-31,5-10  ,16519
30,Brno-město,2011-12-31,50-55 ,23207
31,Brno-město,2011-12-31,55-60 ,26536
32,Brno-město,2011-12-31,60-65 ,25410
33,Brno-město,2011-12-31,65-70 ,23669
34,Brno-město,2011-12-31,70-75 ,15820
35,Brno-město,2011-12-31,75-80 ,12263
36,Brno-město,2011-12-31,80-85 ,10201
37,Brno-město,2011-12-31,85-90 ,5938
38,Brno-město,2011-12-31,90-95 ,1620
39,Brno-město,2011-12-31,Od 95 ,300
40,Brno-město,2012-12-31,0-5 ,21529
41,Brno-město,2012-12-31,10-15 ,13920
42,Brno-město,2012-12-31,15-20 ,15189
43,Brno-město,2012-12-31,20-25 ,22184
44,Brno-město,2012-12-31,25-30 ,27644
45,Brno-město,2012-12-31,30-35 ,32449
46,Brno-město,2012-12-31,35-40 ,33749
47,Brno-město,2012-12-31,40-45 ,24916
48,Brno-město,2012-12-31,45-50 ,24618
49,Brno-město,2012-12-31,5-10  ,17166
50,Brno-město,2012-12-31,50-55 ,22453
51,Brno-město,2012-12-31,55-60 ,25973
52,Brno-město,2012-12-31,60-65 ,24930
53,Brno-město,2012-12-31,65-70 ,24437
54,Brno-město,2012-12-31,70-75 ,16810
55,Brno-město,2012-12-31,75-80 ,11987
56,Brno-město,2012-12-31,80-85 ,10178
57,Brno-město,2012-12-31,85-90 ,6012
58,Brno-město,2012-12-31,90-95 ,1914
59,Brno-město,2012-12-31,Od 95 ,269
60,Brno-město,2013-12-31,0-5 ,21194
61,Brno-město,2013-12-31,10-15 ,14066
62,Brno-město,2013-12-31,15-20 ,14349
63,Brno-město,2013-12-31,20-25 ,21335
64,Brno-město,2013-12-31,25-30 ,27443
65,Brno-město,2013-12-31,30-35 ,31527
66,Brno-město,2013-12-31,35-40 ,33931
67,Brno-město,2013-12-31,40-45 ,26049
68,Brno-město,2013-12-31,45-50 ,24111
69,Brno-město,2013-12-31,5-10  ,18219
70,Brno-město,2013-12-31,50-55 ,22540
71,Brno-město,2013-12-31,55-60 ,25031
72,Brno-město,2013-12-31,60-65 ,24684
73,Brno-město,2013-12-31,65-70 ,24212
74,Brno-město,2013-12-31,70-75 ,18173
75,Brno-město,2013-12-31,75-80 ,12032
76,Brno-město,2013-12-31,80-85 ,10097
77,Brno-město,2013-12-31,85-90 ,6057
78,Brno-město,2013-12-31,90-95 ,2209
79,Brno-město,2013-12-31,Od 95 ,249
80,Brno-město,2014-12-31,0-5 ,21018
81,Brno-město,2014-12-31,10-15 ,14425
82,Brno-město,2014-12-31,15-20 ,13772
83,Brno-město,2014-12-31,20-25 ,20242
84,Brno-město,2014-12-31,25-30 ,27039
85,Brno-město,2014-12-31,30-35 ,30827
86,Brno-město,2014-12-31,35-40 ,33641
87,Brno-město,2014-12-31,40-45 ,27927
88,Brno-město,2014-12-31,45-50 ,23399
89,Brno-město,2014-12-31,5-10  ,19049
90,Brno-město,2014-12-31,50-55 ,23217
91,Brno-město,2014-12-31,55-60 ,23945
92,Brno-město,2014-12-31,60-65 ,24700
93,Brno-město,2014-12-31,65-70 ,23815
94,Brno-město,2014-12-31,70-75 ,19432
95,Brno-město,2014-12-31,75-80 ,12292
96,Brno-město,2014-12-31,80-85 ,9822
97,Brno-město,2014-12-31,85-90 ,6157
98,Brno-město,2014-12-31,90-95 ,2404
99,Brno-město,2014-12-31,Od 95 ,317
100,Brno-město,2015-12-31,0-5 ,20856
101,Brno-město,2015-12-31,10-15 ,14934
102,Brno-město,2015-12-31,15-20 ,13549
103,Brno-město,2015-12-31,20-25 ,19060
104,Brno-město,2015-12-31,25-30 ,26300
105,Brno-město,2015-12-31,30-35 ,30602
106,Brno-město,2015-12-31,35-40 ,32911
107,Brno-město,2015-12-31,40-45 ,29698
108,Brno-město,2015-12-31,45-50 ,23125
109,Brno-město,2015-12-31,5-10  ,19535
110,Brno-město,2015-12-31,50-55 ,23717
111,Brno-město,2015-12-31,55-60 ,22919
112,Brno-město,2015-12-31,60-65 ,24702
113,Brno-město,2015-12-31,65-70 ,23857
114,Brno-město,2015-12-31,70-75 ,19774
115,Brno-město,2015-12-31,75-80 ,12855
116,Brno-město,2015-12-31,80-85 ,9482
117,Brno-město,2015-12-31,85-90 ,6328
118,Brno-město,2015-12-31,90-95 ,2434
119,Brno-město,2015-12-31,Od 95 ,390
120,Brno-město,2016-12-31,0-5 ,21071
121,Brno-město,2016-12-31,10-15 ,15629
122,Brno-město,2016-12-31,15-20 ,13629
123,Brno-město,2016-12-31,20-25 ,17861
124,Brno-město,2016-12-31,25-30 ,25866
125,Brno-město,2016-12-31,30-35 ,30761
126,Brno-město,2016-12-31,35-40 ,32164
127,Brno-město,2016-12-31,40-45 ,31200
128,Brno-město,2016-12-31,45-50 ,23356
129,Brno-město,2016-12-31,5-10  ,19713
130,Brno-město,2016-12-31,50-55 ,23781
131,Brno-město,2016-12-31,55-60 ,21943
132,Brno-město,2016-12-31,60-65 ,24617
133,Brno-město,2016-12-31,65-70 ,22994
134,Brno-město,2016-12-31,70-75 ,21054
135,Brno-město,2016-12-31,75-80 ,13587
136,Brno-město,2016-12-31,80-85 ,9323
137,Brno-město,2016-12-31,85-90 ,6380
138,Brno-město,2016-12-31,90-95 ,2564
139,Brno-město,2016-12-31,Od 95 ,480
140,Brno-město,2017-12-31,0-5 ,21467
141,Brno-město,2017-12-31,10-15 ,16364
142,Brno-město,2017-12-31,15-20 ,14040
143,Brno-město,2017-12-31,20-25 ,16896
144,Brno-město,2017-12-31,25-30 ,25604
145,Brno-město,2017-12-31,30-35 ,30526
146,Brno-město,2017-12-31,35-40 ,31716
147,Brno-město,2017-12-31,40-45 ,32438
148,Brno-město,2017-12-31,45-50 ,24013
149,Brno-město,2017-12-31,5-10  ,19767
150,Brno-město,2017-12-31,50-55 ,23733
151,Brno-město,2017-12-31,55-60 ,21366
152,Brno-město,2017-12-31,60-65 ,24123
153,Brno-město,2017-12-31,65-70 ,22631
154,Brno-město,2017-12-31,70-75 ,21688
155,Brno-město,2017-12-31,75-80 ,14382
156,Brno-město,2017-12-31,80-85 ,9231
157,Brno-město,2017-12-31,85-90 ,6393
158,Brno-město,2017-12-31,90-95 ,2580
159,Brno-město,2017-12-31,Od 95 ,569
160,Brno-město,2018-12-31,0-5 ,21844
161,Brno-město,2018-12-31,10-15 ,17306
162,Brno-město,2018-12-31,15-20 ,14507
163,Brno-město,2018-12-31,20-25 ,15917
164,Brno-město,2018-12-31,25-30 ,24969
165,Brno-město,2018-12-31,30-35 ,30614
166,Brno-město,2018-12-31,35-40 ,31163
167,Brno-město,2018-12-31,40-45 ,32755
168,Brno-město,2018-12-31,45-50 ,25299
169,Brno-město,2018-12-31,5-10  ,19522
170,Brno-město,2018-12-31,50-55 ,23406
171,Brno-město,2018-12-31,55-60 ,21627
172,Brno-město,2018-12-31,60-65 ,23357
173,Brno-město,2018-12-31,65-70 ,22479
