,Region,Domain,Facility_ID
0,Středočeský kraj,urologie,7672
1,Středočeský kraj,urologie,13886
2,Středočeský kraj,urologie,24470
3,Středočeský kraj,urologie,26930
4,Středočeský kraj,urologie,41846
5,Středočeský kraj,urologie,41868
6,Středočeský kraj,gynekologie a porodnictví,7233
7,Středočeský kraj,gynekologie a porodnictví,9337
8,Středočeský kraj,gynekologie a porodnictví,9338
9,Středočeský kraj,gynekologie a porodnictví,13424
10,Středočeský kraj,gynekologie a porodnictví,16706
11,Středočeský kraj,gynekologie a porodnictví,19676
12,Středočeský kraj,gynekologie a porodnictví,20969
13,Středočeský kraj,gynekologie a porodnictví,22331
14,Středočeský kraj,gynekologie a porodnictví,27887
15,Středočeský kraj,gynekologie a porodnictví,28191
16,Středočeský kraj,gynekologie a porodnictví,34910
17,Středočeský kraj,gynekologie a porodnictví,41509
18,Středočeský kraj,gynekologie a porodnictví,41871
19,Středočeský kraj,gynekologie a porodnictví,41872
20,Středočeský kraj,gynekologie a porodnictví,41878
21,Středočeský kraj,gynekologie a porodnictví,54492
22,Středočeský kraj,gynekologie a porodnictví,55465
23,Středočeský kraj,gynekologie a porodnictví,55466
24,Středočeský kraj,gynekologie a porodnictví,55467
25,Středočeský kraj,urologie,4434
26,Středočeský kraj,urologie,26737
27,Středočeský kraj,urologie,28551
28,Středočeský kraj,urologie,28552
29,Středočeský kraj,urologie,39148
30,Středočeský kraj,urologie,53765
31,Středočeský kraj,gynekologie a porodnictví,4424
32,Středočeský kraj,gynekologie a porodnictví,8799
33,Středočeský kraj,gynekologie a porodnictví,16411
34,Středočeský kraj,gynekologie a porodnictví,16708
35,Středočeský kraj,gynekologie a porodnictví,18112
36,Středočeský kraj,gynekologie a porodnictví,26568
37,Středočeský kraj,gynekologie a porodnictví,27886
38,Středočeský kraj,gynekologie a porodnictví,30786
39,Středočeský kraj,gynekologie a porodnictví,30787
40,Středočeský kraj,gynekologie a porodnictví,39128
41,Středočeský kraj,gynekologie a porodnictví,39131
42,Středočeský kraj,gynekologie a porodnictví,39161
43,Středočeský kraj,gynekologie a porodnictví,53764
44,Středočeský kraj,gynekologie a porodnictví,53852
45,Středočeský kraj,gynekologie a porodnictví,53853
46,Středočeský kraj,gynekologie a porodnictví,54683
47,Středočeský kraj,gynekologie a porodnictví,55961
48,Jihomoravský kraj,urologie,21187
49,Jihomoravský kraj,urologie,21188
50,Jihomoravský kraj,urologie,23841
51,Jihomoravský kraj,urologie,23842
52,Jihomoravský kraj,urologie,40795
53,Jihomoravský kraj,urologie,40796
54,Jihomoravský kraj,urologie,59852
55,Jihomoravský kraj,urologie,59885
56,Jihomoravský kraj,gynekologie a porodnictví,4644
57,Jihomoravský kraj,gynekologie a porodnictví,5094
58,Jihomoravský kraj,gynekologie a porodnictví,11609
59,Jihomoravský kraj,gynekologie a porodnictví,11610
60,Jihomoravský kraj,gynekologie a porodnictví,14725
61,Jihomoravský kraj,gynekologie a porodnictví,18499
62,Jihomoravský kraj,gynekologie a porodnictví,18500
63,Jihomoravský kraj,gynekologie a porodnictví,20319
64,Jihomoravský kraj,gynekologie a porodnictví,20320
65,Jihomoravský kraj,gynekologie a porodnictví,20321
66,Jihomoravský kraj,gynekologie a porodnictví,21006
67,Jihomoravský kraj,gynekologie a porodnictví,25132
68,Jihomoravský kraj,gynekologie a porodnictví,29970
69,Jihomoravský kraj,gynekologie a porodnictví,30394
70,Jihomoravský kraj,gynekologie a porodnictví,33387
71,Jihomoravský kraj,gynekologie a porodnictví,33389
72,Jihomoravský kraj,gynekologie a porodnictví,37316
73,Jihomoravský kraj,gynekologie a porodnictví,37317
74,Jihomoravský kraj,gynekologie a porodnictví,40824
75,Jihomoravský kraj,gynekologie a porodnictví,40825
76,Jihomoravský kraj,gynekologie a porodnictví,40826
77,Jihomoravský kraj,gynekologie a porodnictví,40827
78,Jihomoravský kraj,gynekologie a porodnictví,42415
79,Jihomoravský kraj,gynekologie a porodnictví,44738
80,Jihomoravský kraj,gynekologie a porodnictví,46250
81,Jihomoravský kraj,gynekologie a porodnictví,53060
82,Jihomoravský kraj,urologie,6775
83,Jihomoravský kraj,urologie,7406
84,Jihomoravský kraj,urologie,9665
85,Jihomoravský kraj,urologie,11505
86,Jihomoravský kraj,urologie,11776
87,Jihomoravský kraj,urologie,12672
88,Jihomoravský kraj,urologie,23801
89,Jihomoravský kraj,urologie,23802
90,Jihomoravský kraj,urologie,23975
91,Jihomoravský kraj,urologie,25625
92,Jihomoravský kraj,urologie,28785
93,Jihomoravský kraj,urologie,31406
94,Jihomoravský kraj,urologie,32664
95,Jihomoravský kraj,urologie,32803
96,Jihomoravský kraj,urologie,34761
97,Jihomoravský kraj,urologie,36388
98,Jihomoravský kraj,urologie,40361
99,Jihomoravský kraj,urologie,40362
100,Jihomoravský kraj,urologie,42176
101,Jihomoravský kraj,urologie,42956
102,Jihomoravský kraj,urologie,47157
103,Jihomoravský kraj,urologie,47158
104,Jihomoravský kraj,urologie,47159
105,Jihomoravský kraj,urologie,47160
106,Jihomoravský kraj,urologie,47402
107,Jihomoravský kraj,urologie,47403
108,Jihomoravský kraj,urologie,47404
109,Jihomoravský kraj,urologie,47405
110,Jihomoravský kraj,urologie,48479
111,Jihomoravský kraj,urologie,54769
112,Jihomoravský kraj,urologie,56272
113,Jihomoravský kraj,urologie,56578
114,Jihomoravský kraj,urologie,57080
115,Jihomoravský kraj,urologie,57416
116,Jihomoravský kraj,urologie,60094
117,Jihomoravský kraj,urologie,60107
118,Jihomoravský kraj,urologie,60112
119,Jihomoravský kraj,urologie,60118
120,Jihomoravský kraj,urologie,60140
121,Jihomoravský kraj,urologie,60509
122,Jihomoravský kraj,urologie,60542
123,Jihomoravský kraj,urologie,60563
124,Jihomoravský kraj,urologie,60600
125,Jihomoravský kraj,gynekologie a porodnictví,3090
126,Jihomoravský kraj,gynekologie a porodnictví,3091
127,Jihomoravský kraj,gynekologie a porodnictví,3092
128,Jihomoravský kraj,gynekologie a porodnictví,4476
129,Jihomoravský kraj,gynekologie a porodnictví,4477
130,Jihomoravský kraj,gynekologie a porodnictví,4478
131,Jihomoravský kraj,gynekologie a porodnictví,4479
132,Jihomoravský kraj,gynekologie a porodnictví,5236
133,Jihomoravský kraj,gynekologie a porodnictví,5237
134,Jihomoravský kraj,gynekologie a porodnictví,6505
135,Jihomoravský kraj,gynekologie a porodnictví,6506
136,Jihomoravský kraj,gynekologie a porodnictví,6507
137,Jihomoravský kraj,gynekologie a porodnictví,7351
138,Jihomoravský kraj,gynekologie a porodnictví,8921
139,Jihomoravský kraj,gynekologie a porodnictví,8922
140,Jihomoravský kraj,gynekologie a porodnictví,8923
141,Jihomoravský kraj,gynekologie a porodnictví,8924
142,Jihomoravský kraj,gynekologie a porodnictví,8926
143,Jihomoravský kraj,gynekologie a porodnictví,8927
144,Jihomoravský kraj,gynekologie a porodnictví,8928
145,Jihomoravský kraj,gynekologie a porodnictví,9232
146,Jihomoravský kraj,gynekologie a porodnictví,10435
147,Jihomoravský kraj,gynekologie a porodnictví,11625
148,Jihomoravský kraj,gynekologie a porodnictví,11789
149,Jihomoravský kraj,gynekologie a porodnictví,12832
150,Jihomoravský kraj,gynekologie a porodnictví,13260
151,Jihomoravský kraj,gynekologie a porodnictví,13768
152,Jihomoravský kraj,gynekologie a porodnictví,13769
153,Jihomoravský kraj,gynekologie a porodnictví,13775
154,Jihomoravský kraj,gynekologie a porodnictví,13776
155,Jihomoravský kraj,gynekologie a porodnictví,14105
156,Jihomoravský kraj,gynekologie a porodnictví,16691
157,Jihomoravský kraj,gynekologie a porodnictví,16962
158,Jihomoravský kraj,gynekologie a porodnictví,17931
159,Jihomoravský kraj,gynekologie a porodnictví,17932
160,Jihomoravský kraj,gynekologie a porodnictví,19432
161,Jihomoravský kraj,gynekologie a porodnictví,19434
162,Jihomoravský kraj,gynekologie a porodnictví,19998
163,Jihomoravský kraj,gynekologie a porodnictví,19999
164,Jihomoravský kraj,gynekologie a porodnictví,20000
165,Jihomoravský kraj,gynekologie a porodnictví,20122
166,Jihomoravský kraj,gynekologie a porodnictví,20291
167,Jihomoravský kraj,gynekologie a porodnictví,20756
168,Jihomoravský kraj,gynekologie a porodnictví,20971
169,Jihomoravský kraj,gynekologie a porodnictví,20975
170,Jihomoravský kraj,gynekologie a porodnictví,20976
171,Jihomoravský kraj,gynekologie a porodnictví,21003
