,Region,20-25 muž,20-25 žena,25-30 muž,25-30 žena,30-35 muž,30-35 žena,35-40 muž,35-40 žena,40-45 muž,40-45 žena,45-50 muž,45-50 žena,50-55 muž,50-55 žena,55-60 muž,55-60 žena,60-65 muž,60-65 žena,65-70 muž,65-70 žena,70-75 muž,70-75 žena,75-80 muž,75-80 žena,80-85 muž,80-85 žena,85-90 muž,85-90 žena,90-95 muž,90-95 žena,Od 95 muž,Od 95 žena
0,Hlavní město Praha,27850,27302,40380,39764,55134,53746,58311,55992,64542,60673,56311,52830,41057,39902,37833,39014,31547,34733,33465,40617,30390,40536,21592,31325,10626,17230,5953,11608,2434,5540,433,1362
1,Jihomoravský kraj,26397,24842,36000,34247,42184,40311,45763,42444,51532,48326,49101,46616,38617,37224,37097,36554,34168,35938,34044,39310,29281,37944,19604,28439,10351,18109,5215,11236,1812,5033,326,1193
2,Jihočeský kraj,14981,14013,19284,17982,21191,19797,21944,20604,26561,25289,26281,25712,21156,20628,20538,20437,20059,20524,20491,22231,17665,20925,10455,14615,5548,9399,2909,5895,937,2298,135,516
3,Karlovarský kraj,6873,6492,8677,8025,9699,9070,9977,9091,11781,11287,12661,12152,10282,9981,9994,9630,9087,9475,9280,10440,8011,10100,4524,6478,2579,4469,1186,2263,364,851,45,194
4,Kraj Vysočina,12509,11719,15882,14614,17008,15178,17554,15822,20621,18942,20971,19832,16980,16191,16895,16440,16242,16015,15595,16852,13468,16182,8353,11905,4750,8206,2357,4940,725,1952,83,380
5,Královéhradecký kraj,13301,12229,16351,15042,17731,16372,18316,17007,22552,21110,23057,21864,18150,17538,17118,17096,16246,16719,17337,19861,15514,19462,9733,13783,5086,8482,2753,5285,899,2349,136,490
6,Liberecký kraj,10578,10017,13304,12166,14669,13873,15306,14392,18896,17601,19060,18274,14315,13937,13331,13491,11968,12863,13206,15305,12515,15695,6930,9910,3489,5978,1745,3551,521,1550,81,343
7,Moravskoslezský kraj,28487,27092,36707,34241,41434,38339,40874,37312,47925,44614,48827,47107,40956,39906,40570,40857,35865,38731,34943,41902,29394,39369,18451,29265,10520,18213,4484,9982,1345,4119,237,906
8,Olomoucký kraj,14494,13778,18568,17782,20888,19580,21400,20143,26532,24676,26516,25221,20446,20114,20110,20000,18883,20123,19365,22079,16500,21291,10062,15231,5612,9870,2707,6001,835,2484,138,540
9,Pardubický kraj,12971,11887,16391,14755,17722,16208,18416,16571,22223,20461,22220,20739,16937,16308,16211,16187,15181,15876,15938,17992,13729,16748,8388,11785,4576,7799,2426,5028,838,1868,112,404
10,Plzeňský kraj,13353,12637,17792,16335,20831,19000,21961,20028,25302,23669,25288,23882,19801,18536,18746,18355,17234,17946,18286,20122,15828,18942,9981,13719,5347,8384,2532,5149,817,1998,127,403
11,Středočeský kraj,30728,28671,38608,36772,45428,44594,51069,50371,63900,62176,62581,58516,46363,43396,42065,40554,37037,38550,39148,43809,34553,42192,20679,28880,10299,17332,5058,10946,1699,4338,311,934
12,Zlínský kraj,13594,12725,17354,16298,19308,17670,20030,18233,23703,22307,24291,22925,19382,18739,19268,19468,18081,18796,17513,20511,14663,18945,9214,14115,5304,9761,2635,6099,785,2377,131,479
13,Ústecký kraj,19670,18720,24883,22721,27296,24670,28731,25648,34392,31728,35804,33947,27724,26517,26429,25445,23166,24412,24403,28373,22666,28669,12138,17647,6101,10717,2799,5748,773,2270,130,519
